claim_id	word_pos	readability	model	claim	label
369	غَيْر_noun	2	GPT4	ظلت السعودية غير متأثرة بالربيع العربي الذي انتشر في العالم العربي في عام 2011.	FI
1510	سَأَل_verb	1	GPT4	سأل ماري كوري عن أنواع الأشعة المختلفة وتأثيرها على البشر والمواد.	NF
6072	أَخَذ_verb	1	ChatGPT	أخذ العامل إجازة لمدة أسبوع للسفر إلى بلده.	NF
5217	مُهِمَّة_noun	2	GPT4	تأسست مهمة الأمم المتحدة لحفظ السلام في الكونغو (MONUSCO) في عام 2010 بهدف حماية المدنيين وتعزيز الأمان في هذه المنطقة.	FI
2142	حَمَل_verb	1	ChatGPT	يمكن للنساء الحوامل السفر بالطائرة حتى الشهر السابع من الحمل.	FC
6671	مُنْتَخَب_noun	1	ChatGPT	المنتخب السعودي لكرة القدم يعتبر من أقوى المنتخبات في آسيا.	FI
1624	هُنا_adv	1	ChatGPT	المستشفى الجديد يقع هنا في ضاحية المدينة.	NF
9160	دِينِيّ_adj	2	GPT4	يُمثل العيد الديني اليهودي اليوم الكبور أهمية كبيرة لليهود.	FC
3024	كَيْفَ_adv_interrog	2	ChatGPT	كيف يتم تحديد موعد عيد الفطر المبارك؟	NF
6040	فُنْدُق_noun	1	GPT4	كان فندق والدورف أستوريا في نيويورك أول فندق في العالم يقدم خدمة الغرف.	FI
9953	نَهْر_noun	1	ChatGPT	نهر الأمازون هو أكبر نهر في العالم من حيث الحجم.	FC
1335	ماضِي_adj	3	ChatGPT	الماضي يمكن أن يكون مصدر إلهام للكثير من الأشخاص.	NF
7903	حُلْم_noun	1	ChatGPT	حلم الرئيس الأمريكي جو بايدن هو تحقيق الوحدة والتضامن بين الأمريكيين.	NF
4197	نِساء_noun	1	GPT4	تعتبر ماري كوري أول امرأة تفوز بجائزة نوبل، وهي فازت مرتين في مجالين مختلفين: الفيزياء والكيمياء.	FC
1298	أَعْلَن_verb	3	GPT4	أعلنت الإمارات العربية المتحدة عن إطلاق أول مسبار عربي لاستكشاف المريخ يوليو 2020.	FC
6407	أُسْتاذ_noun	1	GPT4	تعتبر رواية "أستاذ ورئيس الطهاة" للكاتب الأمريكي ريتشارد بورتون عملًا أدبيًا مشهورًا.	FI
585	تَمّ_verb	3	ChatGPT	تم تصميم أول سيارة بنزين في عام 1885.	FC
2136	وَجَب_verb	3	GPT4	وجب الطعام هو مصطلح يشير إلى وجبة غذائية سريعة وسهلة التحضير.	FI
1982	لَنْ_part_neg	2	ChatGPT	لن يتم تمديد فترة الحجر الصحي في الإمارات العربية المتحدة.	NF
3008	حاوَل_verb	1	GPT4	في معركة بدر، حاول النبي محمد صلى الله عليه وسلم تنظيم جيش المسلمين بطريقة استراتيجية.	FC
5410	قَدِيم_adj	1	GPT4	تأسست المكتبة الإسكندرية القديمة في القرن الثالث قبل الميلاد بمدينة الإسكندرية.	FI
1554	نَظَر_verb	1	ChatGPT	تم إعلان النتائج الأخيرة للانتخابات البرلمانية في البلاد.	NF
2091	نِسْبَة_noun	3	ChatGPT	نسبة البطالة في الأردن بلغت 23.9% في الربع الأول من عام 2021.	FI
2897	إِلّا_part_restrict	1	GPT4	القرآن الكريم يتألف من 114 سورة، إلا أن سورة الفاتحة تعتبر أهمها وأكثرها ترديدًا من قبل المسلمين.	FC
9758	صَفّ_noun	1	GPT4	تم العثور على أول صف من الأسنان في الفقمة، وهي حفرية تعود إلى 500 مليون سنة.	FI
8669	ٱِسْتِمْرار_noun	2	GPT4	كانت استمرار السلامة في مكان العمل أولوية قصوى للشركة.	NF
8012	تَعْدِيل_noun	1	ChatGPT	تعديل السيارات يمكن أن يؤدي إلى زيادة قوتها وأدائها.	NF
426	يَد_noun	1	GPT4	يعتبر اليد أحد أجزاء الجهاز العضلي الهيكلي للإنسان.	FI
7893	واسِع_adj	1	ChatGPT	الأمازون هو أوسع نهر في العالم من حيث الحجم والتدفق.	FC
3202	مَوْت_noun	1	ChatGPT	يمكن أن يحدث الموت بسبب الأمراض المزمنة مثل السرطان وأمراض القلب.	FC
9471	شَعْبِيّ_adj	4	ChatGPT	شرف العلماء هو العمل على تطوير المعرفة الإنسانية.	NF
5591	نَزَل_verb	1	ChatGPT	نزل المطر بغزارة في المدينة اليوم.	NF
2844	طَرَف_noun	4	ChatGPT	يتم استخدام طرف القلم الرصاص للرسم والكتابة.	FC
1488	أَشار_verb	4	GPT4	أشار علماء الفلك إلى اكتشاف كوكب جديد خارج المجموعة الشمسية يعتقد أنه قد يكون صالحًا للحياة.	FC
7926	فِرْقَة_noun	2	GPT4	فرقة البيتلز البريطانية تأسست في عام 1960 وتعتبر واحدة من أشهر فرق الروك في التاريخ.	FC
6755	فَرْد_noun	3	ChatGPT	يتم تصنيف الفرد ضمن فئات مختلفة حسب عدة معايير مثل العمر والجنس والجنسية.	FC
8778	مِرْمِيس_noun	5	GPT4	تعتبر الفلفل والثوم والبصل من المكونات الأساسية في مرميس.	NF
8615	ٱِرْتَفَع_verb	2	ChatGPT	ارتفع عدد الإصابات بفيروس كورونا في العالم إلى أكثر من 100 مليون حالة.	FC
549	ٱِبْن_noun	1	GPT4	ابن خلدون هو مؤرخ وفيلسوف اقتصادي تونسي يعتبر مؤسس علم الاجتماع.	FC
6818	إِصْلاح_noun	2	GPT4	أسهمت حركة الإصلاح الديني في تغيير الفكر العربي والإسلامي في القرون الأخيرة.	NF
6435	حَمْلَة_noun	4	ChatGPT	تم إطلاق حملة لتوفير الدعم النفسي للأطفال اللاجئين في الأردن.	FC
4286	أَعْطَى_verb	2	GPT4	أعطى العالِم إبراهيم الهلالي جوائز علمية عديدة على أبحاثه في مجال الفيزياء النظرية.	NF
5085	زِيادَة_noun	1	ChatGPT	تم تسجيل زيادة في عدد الشركات الناشئة التي تعمل في مجال التكنولوجيا خلال العام الماضي.	NF
5561	جَلْسَة_noun	3	ChatGPT	جلسة مجلس النواب الأردني عُقِدَتْ في الثاني عشر من تشرين الثاني 2019.	FC
6428	إِرْهاب_noun	3	GPT4	تم تأسيس تنظيم القاعدة بواسطة أسامة بن لادن في الثمانينيات كجماعة إرهابية.	FI
135	لِ_prep	1	ChatGPT	العرب هم أحد أكبر الشعوب في العالم بعدد سكان يتجاوز 400 مليون شخص.	FC
9208	وافَق_verb	1	GPT4	وافق البرلمان الأوروبي على البروتوكول الإضافي لاتفاقية السلامة النووية في يوليو 2009.	FC
1650	أَب_noun	1	GPT4	أبو عبد الله محمد بن إسماعيل بن إبراهيم بن المغيرة بن بردزبه البخاري، المعروف بالإمام البخاري، هو عالم حديث ومحدث سني ومؤرخ إسلامي.	FC
4476	تَصْرِيح_noun	3	GPT4	طلب العالِم الإسلامي الخوارزمي من الخليفة العباسي العلم والدعم لإنشاء مركز للرياضيات والفلك.	FC
7389	صِفْر_noun_num	1	GPT4	تم استخدام الصفر في الهند القديمة في القرون الخامس والسادس الميلادي.	FC
8474	عِلْمِيّ_adj	2	ChatGPT	التعليم العلمي يساعد الأفراد على فهم العالم من حولهم بشكل أفضل.	NF
947	مِنْطَقَة_noun	2	GPT4	منطقة السيليكون في ولاية كاليفورنيا بالولايات المتحدة الأمريكية معروفة بكونها مركز التكنولوجيا والابتكار.	FC
3800	مُدِير_noun	1	GPT4	تم تعيين كريستين لاغارد كأول امرأة تشغل منصب المديرة العامة لصندوق النقد الدولي.	FC
4901	إِعْلان_noun	1	ChatGPT	تم إصدار إعلان رسمي من قبل الحكومة بشأن تغيير سياسة الهجرة.	NF
2015	أَجْل_noun	5	ChatGPT	يستخدم مصطلح "أجل" في اللغة العربية الفصحى للإشارة إلى الزمن المستقبلي.	FC
2465	ٱِعْتَبَر_verb	2	ChatGPT	اعتبرت الولايات المتحدة أكبر اقتصاد في العالم.	NF
1018	حَقّ_noun	2	GPT4	الحق في الحياة هو أحد الحقوق الأساسية التي يكفلها القانون الدولي لحماية الإنسان.	FC
111	ما_pron_rel	3	ChatGPT	ما هي أكبر دولة عربية من حيث المساحة؟	NF
4294	قادِم_adj	1	ChatGPT	سيتم تنظيم مؤتمر دولي حول الطاقة المتجددة قادم الشهر في دبي.	NF
4791	دِين_noun	1	ChatGPT	الإسلام هو دين الأغلبية في الدول العربية.	FI
4260	تَعْلِيم_noun	1	GPT4	يعتبر التعليم في الإمارات مكوناً أساسياً في خطط التنمية الوطنية، حيث تم إنشاء وزارة التربية والتعليم عام 1971.	NF
6775	عَرْض_noun	2	ChatGPT	تم عرض الأعمال الفنية للفنان التشكيلي المغربي محمد مرزوق في معرض الفن الحديث في الرباط.	NF
5601	طاقَة_noun	3	ChatGPT	تعتبر الطاقة الشمسية من أهم مصادر الطاقة المتجددة في العالم.	FC
886	أُخْرَى_adj	3	GPT4	الأردن يشترك في حدوده مع دول عربية أخرى مثل العراق وفلسطين والسعودية.	FC
2066	مِئَة_noun_num	1	GPT4	مئة عام هي المدة التي تم خلالها بناء سور الصين العظيم.	FI
2131	وَجَب_verb	3	ChatGPT	وجب الالتزام بالتباعد الاجتماعي للحد من انتشار فيروس كورونا.	FC
6718	نَجْم_noun	1	GPT4	تعتبر سيريوس نجم الكلب الأكبر ألمع نجم في سماء الليل ويمكن رؤيته بالعين المجردة.	FC
6590	شَرْط_noun	1	GPT4	في القانون المدني، يمكن تعريف الشرط على أنه حدث مستقبلي غير مؤكد يعتمد عليه تحقيق أو تعطيل حق.	NF
4083	صَدْر_noun	1	ChatGPT	صدر قرار بإغلاق المدارس في المنطقة بسبب الظروف الجوية السيئة.	NF
1185	خَرَج_verb	1	ChatGPT	خرج العاملون من المصنع بعد انتهاء الوردية الليلية.	NF
9351	هائِل_adj	3	ChatGPT	تعتبر الإعلانات وسيلة نشر الإعلانات التجارية.	NF
7773	ساحَة_noun	1	ChatGPT	تم تصميم ساحة الشهداء في عمان على شكل نجمة.	FI
4209	لاعِب_noun	1	GPT4	يعتبر اللاعب الأرجنتيني ليونيل ميسي هداف الدوري الإسباني على مر العصور.	FC
5762	صِناعَة_noun	2	ChatGPT	تعتبر صناعة النفط من أهم الصناعات في الشرق الأوسط.	FC
2124	قَضِيَّة_noun	3	ChatGPT	تعد قضية تغير المناخ من أكبر القضايا العالمية التي تواجه البشرية في الوقت الحالي.	FC
4237	فَقَط_adv	2	GPT4	تقع جزيرة البوراك في مصر، ويوجد بها فقط مقبرة البوراك الإسلامية.	NF
4224	مَحْكَمَة_noun	2	ChatGPT	تم إنشاء محكمة الاستئناف الدولية في لاهاي عام 1922 للنظر في النزاعات الدولية.	NF
2607	لَيْلَة_noun	1	GPT4	تقام ليلة الحناء قبل الزفاف في العديد من الثقافات العربية، حيث تلون العروس أظافرها ويديها بالحناء.	FC
4084	صَدْر_noun	1	ChatGPT	تم صدور تقرير حول تأثير التغير المناخي على الحياة البرية في المنطقة.	FC
3968	شابّ_noun	1	GPT4	شاب خالد هو فنان جزائري يُعتبر ملك موسيقى الراي ومن مواليد عام 1960.	FC
9874	جَوْلَة_noun	2	ChatGPT	جولة الفريق الأول لكرة القدم بنادي الهلال السعودي في دوري أبطال آسيا عام 2019 شملت العديد من الدول الآسيوية.	FC
3067	جَلَس_verb	1	GPT4	جلس الفيلسوف اليوناني أفلاطون مع تلاميذه لمناقشة الأفكار.	NF
5642	قِيام_noun	4	ChatGPT	تعني كلمة "قيام" الوقوف أو النهوض.	FC
791	عَيْن_noun	1	ChatGPT	الباب هو عنصر أساسي في بناء المنازل.	NF
2037	خارِجِيّ_adj	2	GPT4	تعتبر السياسة الخارجية للدولة الوسيلة التي تتعامل بها مع الدول الأخرى.	FC
8386	ساعَد_verb	1	GPT4	ساعد العلماء في اكتشاف الجهاز المناعي للجسم بفهم كيفية مكافحة الأمراض والعدوى.	NF
509	قُوَّة_noun	1	GPT4	تعتمد قوة الشد السطحي على التجاذب المتبادل بين جزيئات السائل المتجاورة.	FC
6450	إِثْرَ_noun	5	GPT4	إثر اغتيال جوليوس قيصر، اندلعت حروب أهلية في روما قادت إلى انتهاء الجمهورية الرومانية وبداية الإمبراطورية.	FI
6554	قِصَّة_noun	1	ChatGPT	الأسود الحقيقي هو الذي يمتلك الفراء الأسود الكامل دون أي لون آخر.	FI
708	حَيْثُ_adv_rel	3	GPT4	حيث تعتبر الصين أكبر مصدر للطاقة الشمسية في العالم.	FC
6221	مَعْلُوم_noun	4	ChatGPT	الأرقام السرية للبطاقات الائتمانية هي معلومة سرية يجب عدم مشاركتها مع أي شخص آخر.	FC
9849	أُسْلُوب_noun	2	GPT4	أسلوب الفن البيزنطي يشتهر بتأثيره على الفنون الدينية في أوروبا الشرقية.	FC
8730	تِجارَة_noun	1	GPT4	تجارة الأسلحة هي النشاط الاقتصادي المتعلق بتصنيع وتوزيع وبيع الأسلحة والذخائر.	FC
8579	عِبارَة_noun	2	GPT4	في 2014، تحطمت عبارة سيوول الكورية الجنوبية وأسفر ذلك عن مقتل أكثر من 300 شخص، معظمهم من الطلاب المدرسة الثانوية.	NF
8280	جَبَل_noun	1	GPT4	جبل سيناء يعتبر مقدسا للديانات الإبراهيمية ويقع في شبه جزيرة سيناء بمصر.	FC
7887	صَحِيح_adj	1	GPT4	صحيح أن الأرض تستغرق 365 يوم و 6 ساعات تقريباً لإكمال دورة كاملة حول الشمس.	FC
3724	فَتْح_noun	1	ChatGPT	فتح مكة كان في عام 630 ميلادية.	FC
8261	لَقِي_verb	3	ChatGPT	لقي الرئيس الأمريكي جو بايدن الرئيس الروسي فلاديمير بوتين في قمة في جنيف.	FC
3235	خَبَر_noun	1	ChatGPT	سيتم تنظيم مؤتمر غدًا لمناقشة القضايا البيئية.	NF
736	أَيّ_noun_quant	1	GPT4	أي هو حرف استفهام يستخدم في السؤال عن الخيارات والنوع.	FI
1112	مُتَّحِد_adj	3	ChatGPT	الاتحاد الأوروبي هو اتحاد سياسي واقتصادي متحد يضم 27 دولة أوروبية.	FC
8034	ٱِنْصَرَف_verb	3	ChatGPT	يجب على الجميع انصرافهم من المكان قبل الساعة العاشرة مساءً.	NF
9979	فارِس_noun	2	GPT4	عاصمة محافظة فارس هي مدينة شيراز الإيرانية.	FC
5708	غَرِيب_adj	1	GPT4	يحتفظ الجيش المصري بمقاتلة من طراز سوخوي-35 الروسية تسمى "غريب".	FI
928	حَوْل_noun	1	GPT4	تم بناء قناة السويس حول عام 1869 لربط البحر الأبيض المتوسط بالبحر الأحمر.	FC
9060	سائِق_noun	1	GPT4	سائق الرالي الفنلندي تومي ماكينن فاز ببطولة العالم للراليات أربع مرات متتالية.	FC
1207	أَمْس_noun	1	GPT4	أمس بدأت القمة العالمية للتغير المناخي في العاصمة البريطانية لندن.	NF
8405	وِفْق_noun	4	ChatGPT	وفقًا لتقرير الأمم المتحدة، يعاني أكثر من 2.2 مليار شخص في العالم من نقص في النظافة الصحية.	NF
3370	صَباح_noun	1	GPT4	صباح جابر هو مخرج ومنتج سينمائي عراقي ولد في بغداد عام 1944.	FI
4644	ٱِجْتِماعِيّ_adj	3	ChatGPT	تساعد الأنشطة الاجتماعية على تعزيز العلاقات الاجتماعية وتقوية الروابط بين الأفراد.	FC
5310	جَمال_noun	1	GPT4	جمال الغيطاني كان كاتبًا وروائيًا مصريًا حائزًا على العديد من الجوائز الأدبية.	FC
6729	قَطَع_verb	1	GPT4	تعتبر قطع الزجاج الملونة مكوناً أساسياً في تصميم النوافذ الزجاجية الملونة وفن الفسيفساء.	FC
8389	ساعَد_verb	1	GPT4	ساعد العالم البريطاني تشارلز داروين في تطوير نظرية التطور من خلال الطبيعة.	FI
10	فِي_prep	1	GPT4	في العصر البرونزي، بدأت البشرية في استخدام المعادن لصنع الأدوات والأسلحة.	FI
104	أَنَّ_conj_sub	2	ChatGPT	يعتبر العرب أن الخليج العربي هو أكبر منطقة ترسيب للنفط في العالم.	FC
4236	فَقَط_adv	2	GPT4	في قرية جنوب أفريقيا، يعيش فقط شعب "كو" الذي يتحدث اللغة الكويسان.	NF
8507	عَشَر_noun_num	2	GPT4	تعتبر العشرة الأواخر من رمضان الأيام الأكثر قداسة في الشهر الفضيل للمسلمين حول العالم.	NF
1844	مال_noun	1	ChatGPT	يتم تداول العملات العربية في الأسواق المالية العالمية.	NF
1871	طَلَب_verb	1	ChatGPT	قدم الطالب طلباً للحصول على منحة دراسية.	NF
3060	شارِع_noun	1	GPT4	تعتبر شوارع باريس المؤدية إلى قوس النصر من أكثر الشوارع إزدحاماً في المدينة.	NF
8500	مُقابَلَة_noun	2	GPT4	أُجريت مقابلة مع الرئيس الأمريكي الأسبق باراك أوباما على قناة "العربية" عام 2009.	NF
7840	ٱِتَّهَم_verb	3	GPT4	اتهم الممثل جوني ديب زوجته السابقة أمبر هيرد بالتحريض على العنف ضده.	FI
446	إِلّا_part_restrict	1	GPT4	إن القارة القطبية الجنوبية تعتبر القارة الوحيدة التي لا يوجد فيها أي دولة دائمة الاقامة إلا محطات علمية مؤقتة.	FI
4185	طَبِيب_noun	1	ChatGPT	يمكن للأطباء العمل في مجالات مختلفة مثل الجراحة والأمراض الباطنية والأطفال.	FC
3032	مَوْقِف_noun	2	ChatGPT	أعلنت الحكومة المصرية موقفها الرسمي بشأن الأزمة الخليجية وأكدت دعمها للكويت.	FI
652	حِين_noun	3	ChatGPT	المسافة بين الأرض والشمس تتغير حين يدور الأرض حولها.	FC
8263	لَقِي_verb	3	ChatGPT	لقي العالم الأمريكي نيل أرمسترونج أول إنسان في التاريخ يصل إلى القمر في عام 1969.	FI
9380	مُوَظَّف_noun	1	GPT4	تعتبر موظفة الخدمات اللوجستية جزءاً من فريق العمل في الشركات الكبرى.	NF
9804	مُعَسْكَر_noun	3	ChatGPT	تم إنشاء معسكر للاجئين السودانيين في محافظة القضارف في السودان.	FC
8758	خَطَأ_noun	1	GPT4	تستخدم المحاكم في بعض الأحيان تقنية الكشف عن الخطأ في الأمانة لتحديد ما إذا كان المتهم قد ارتكب الجريمة.	NF
2931	عالَمِيّ_adj	3	ChatGPT	الاقتصاد العالمي يتأثر بالأحداث السياسية والاجتماعية في العالم.	NF
3100	مُسْتَوَى_noun	1	GPT4	يعتبر مستوى التعليم في فنلندا من أفضل المستويات عالمياً.	FC
7645	أَداء_noun	3	ChatGPT	يتم تحسين أداء السيارات من خلال الصيانة الدورية والتحديثات التقنية.	FC
3357	دَفَع_verb	1	GPT4	في عام 2019، دفعت المملكة العربية السعودية أكثر من 61 مليار دولار كمساعدات إنمائية للدول النامية.	FI
6276	تَوَلَّى_verb	3	GPT4	تولى الرئيس المصري جمال عبد الناصر رئاسة الجمهورية في الفترة من 1956 إلى 1970.	FC
6628	ثِقَة_noun	2	GPT4	تعزيز الثقة بين الدول يسهم في تعزيز التعاون الدولي والإقليمي.	NF
1209	أَمْس_noun	1	GPT4	أمس أعلنت منظمة الصحة العالمية عن اكتشاف سلالة جديدة من فيروس كورونا في جنوب إفريقيا.	NF
3733	سُؤال_noun	1	ChatGPT	يمكن للمرء أن يتعلم الكثير من خلال طرح الأسئلة والاستماع إلى الإجابات.	NF
74	هٰذا_pron_dem	1	ChatGPT	هذا هو الحيوان الذي يعتبر أكبر حيوان بري في العالم ويعيش في أفريقيا.	NF
7815	ٱِزْداد_verb	2	ChatGPT	ازدادت مساحة الصحراء في العالم بنسبة 10٪ خلال القرن الماضي.	FC
9147	نَفَّذ_verb	4	GPT4	ظهرت أولى قوانين ضرب العملات المعدنية في العالم الإسلامي في عهد الخليفة عبد الملك بن مروان.	FC
5923	سَجَّل_verb	1	ChatGPT	يجب على الشركات الحفاظ على سجل دقيق للمعاملات المالية.	FC
8906	ثَرْوَة_noun	3	GPT4	الثروة النفطية في المملكة العربية السعودية تُعتبر من أكبر الثروات النفطية في العالم.	FC
1780	سَيِّدَة_noun	1	GPT4	تأسست مدرسة سيدة الفتح في مصر عام 1956 وهي إحدى المدارس الخاصة العامة بالقاهرة.	NF
3807	حاجَة_noun	2	GPT4	في مصر، تعتبر حاجة الأهرامات من أشهر المعالم السياحية وتاريخية في العالم.	FC
3283	أَدَّى_verb	3	ChatGPT	أدى الإعصار إيدا إلى فيضانات واسعة النطاق في ولاية لويزيانا الأمريكية في أغسطس 2021.	FC
7317	ٱِضْطِراب_noun	4	GPT4	تعتبر الاضطرابات المزاجية أحد أنواع الاضطرابات النفسية المتعددة.	FI
1358	ثَلاث_noun_num	1	GPT4	أكبر ثلاث دول في العالم من حيث المساحة هي روسيا وكندا والصين.	FI
4284	أَعْطَى_verb	2	ChatGPT	أعطى الفنان الإيطالي ليوناردو دافنشي العديد من الأعمال الفنية الشهيرة مثل لوحة الموناليزا.	FC
7287	جارِي_adj	4	GPT4	جاري العمل على مشروع مكتبة الإسكندرية الجديدة التي تعد واحدة من أكبر المكتبات في العالم.	NF
9001	وَلِي_verb	5	ChatGPT	ولي العهد السعودي هو الأمير محمد بن سلمان.	FC
8155	مُسَلَّح_adj	2	ChatGPT	تم إلقاء القبض على مسلحين اثنين بعد محاصرتهما في منزل بمدينة الدار البيضاء في المغرب.	FI
5089	زِيادَة_noun	1	GPT4	تؤدي زيادة مستوى التعليم في المجتمع إلى تحسين جودة الحياة.	NF
1126	نَظَر_verb	1	GPT4	يُعتبر طريقة النظر في علم الجمال أحد المفاهيم الأساسية لدراسة الفن والجمال.	FC
2836	سُوق_noun	1	GPT4	سوق البلدة القديمة في دبي يعتبر من أقدم الأسواق التجارية المتواجدة في الإمارات العربية المتحدة.	FC
5503	قَرَأ_verb	1	ChatGPT	قرأت الأم القصة لطفلها قبل النوم.	NF
5900	نَفْط_noun	3	GPT4	ظل الجبال يوفر مناخاً مناسباً لنمو بعض النباتات والأشجار.	FI
4172	عَوْدَة_noun	2	ChatGPT	تم الإعلان عن عودة الرحلات الجوية بين الإمارات وقطر بعد قطع العلاقات الدبلوماسية لمدة 3 سنوات.	FI
1949	بَدَأ_verb	1	GPT4	بدأ الثورة الفرنسية عام 1789 وأدت إلى إنشاء الجمهورية الفرنسية.	FC
833	كَثِير_adj	1	ChatGPT	كثير من الأطفال العرب يتحدثون اللغة العربية كلغتهم الأم.	FI
7213	جُمْلَة_noun	1	ChatGPT	يمكن أن تكون الجملة العربية مثبتة أو نفيًا.	FC
7901	حُلْم_noun	1	ChatGPT	حلم مارتن لوثر كينغ الشهير كان تحقيق المساواة بين الأعراق في الولايات المتحدة الأمريكية.	FC
4411	نَقَل_verb	2	ChatGPT	تعد خدمات النقل العام في العالم العربي متنوعة وتختلف من دولة لأخرى.	FC
9597	ٱِتِّجاه_noun	2	GPT4	في الفيزياء، يعتبر الاتجاه مكوناً أساسياً للقوة.	FC
9173	تُهْمَة_noun	2	ChatGPT	تم توجيه تهمة الفساد إلى عدد من المسؤولين الحكوميين.	NF
3749	رَفَع_verb	1	GPT4	عرفت الحروب الصليبية في القرون الوسطى بالقتل والتدمير الذي خلفته في الشرق الأوسط.	FC
6213	واقِع_noun	2	ChatGPT	الواقع الصحي في العالم يتأثر بشكل كبير بالتغيرات البيئية والتلوث.	FC
4144	دُخُول_noun	1	ChatGPT	يجب على الزوار الجدد تسجيل دخولهم في السجلات الرسمية.	NF
9097	وَعَد_verb	1	GPT4	وعد الرئيس الأمريكي أبراهام لينكولن بإلغاء الرق في الولايات المتحدة.	FC
2270	جِهَة_noun	2	GPT4	تقع جهة طنجة-تطوان-الحسيمة شمال المملكة المغربية وتشتهر بمينائها المتطور ومنطقتها الصناعية المتنامية.	FI
9918	غِياب_noun	2	GPT4	تعتبر الفواكه والخضروات مصدرًا غنيًا بالفيتامينات والمعادن التي تفتقر إليها النظم الغذائية المتأثرة بغياب هذه المكونات.	FC
2498	سَلام_noun	2	GPT4	في اللغة العربية، يُعتَبر السلام جزءًا من الأدب والاحترام بين الأشخاص.	NF
2663	لِقاء_noun	2	ChatGPT	تم عقد لقاء بين الرئيس الصيني والرئيس الأمريكي في قمة العشرين عام 2019.	FI
8056	طائِرَة_noun	1	GPT4	طائرة الأخوين رايت فلاير كانت أول طائرة تستخدم بشكل ناجح في الطيران عام 1903.	FI
3263	حَلّ_noun	1	ChatGPT	الحل المناسب لمشكلة الرياضيات يمكن أن يكون مختلفًا من شخص لآخر.	NF
9542	لَهْجَة_noun	4	ChatGPT	تتميز لهجة الشام بالنطق الصحيح للحروف العربية.	FC
8061	ذا_noun	4	ChatGPT	ذا الكتاب هو أفضل كتاب قرأته عن الثقافة العربية.	NF
1735	مَشْرُوع_noun	2	ChatGPT	يعتبر مشروع الحرمين السريع في المملكة العربية السعودية أحد أكبر مشاريع النقل العام في العالم.	FC
1843	مال_noun	1	ChatGPT	تعتبر الأسهم والأوراق المالية من أهم الأدوات المالية في الاقتصاد العربي.	FC
4610	زَوْجَة_noun	1	GPT4	تزوج الملك فيصل بن عبد العزيز آل سعود أربع زوجات خلال حياته.	FI
8047	عَمّ_noun	1	GPT4	تعتبر عمليات الشراء عبر الإنترنت من أكثر الطرق شيوعاً للتسوق في الوقت الحالي.	NF
8059	طائِرَة_noun	1	GPT4	تعتبر طائرة إيرباص A380 أكبر طائرة ركاب في العالم حيث يمكنها أن تستوعب أكثر من 853 مسافراً.	FC
4117	عَنَى_verb	3	GPT4	أعلنت منظمة الصحة العالمية في عام 2020 أن فيروس كورونا المستجد من عائلة فيروسات كورونا.	FC
4715	إِطار_noun	3	ChatGPT	يستخدم إطار الدراجات لتثبيت العجلات والإطارات.	FC
6926	أَحَسّ_verb	1	GPT4	أحس الإنسان بالحرارة من خلال جهاز الإحساس بالحرارة الموجود في الجلد.	FC
4048	حَصَل_verb	1	GPT4	حصلت مصر على استضافة بطولة كأس الأمم الأفريقية لكرة القدم عام 2019.	FC
4050	حَصَل_verb	1	GPT4	حصل الكاتب نجيب محفوظ على جائزة نوبل للأدب عام 1988.	FC
2907	ٱِجْتِماع_noun	1	GPT4	تنظم منظمة التعاون الاقتصادي والتنمية اجتماعات دورية لمناقشة السياسات الاقتصادية.	NF
5741	أَلَم_noun	1	ChatGPT	ألم هو إحساس غير مريح يشعر به الإنسان في جسمه.	FC
4191	نِساء_noun	1	ChatGPT	نساء يشكلن نسبة 50% من عدد السكان في العالم.	FC
1737	مَشْرُوع_noun	2	GPT4	تم تأسيس مشروع الإنترنت المصرى عام 1993 بهدف توفير الخدمات الإنترنتية في جمهورية مصر العربية.	FI
5882	مَعْنَى_noun	1	ChatGPT	معنى كلمة "الحب" هو الشعور بالإعجاب والتقدير والإخلاص تجاه شخص ما.	FC
1571	هَدَف_noun	1	ChatGPT	تعتبر الأهداف الذكية أفضل طريقة لتحديد الأهداف الواقعية والمحددة بشكل جيد.	NF
9888	حَذَّر_verb	1	GPT4	تتضمن حملة الحذر من المخدرات العديد من التوعية والبرامج الاجتماعية.	NF
9474	شَعْبِيّ_adj	4	ChatGPT	يعتبر العمل في الخدمة العامة شرفًا للكثير من الناس.	FC
4986	عَدُوّ_noun	2	GPT4	عدو الماء والرياح هو مصطلح يستخدم لوصف مقاومة المواد لتأثيرات الطقس.	FC
5087	زِيادَة_noun	1	GPT4	تسبب زيادة استهلاك السكر بشكل مفرط في الإصابة بمرض السكري.	FC
6479	أَثار_verb	3	GPT4	في عام 2013، تم تسجيل أكثر من 200 قتيل في تفجير كنيسة القديسين بالإسكندرية المصرية.	FI
6411	وَصَف_verb	2	ChatGPT	تم تصميم كأس العالم لكرة القدم لأول مرة في عام 1930.	FI
4883	زَعِيم_noun	1	ChatGPT	زعيم الاتحاد السوفيتي السابق كان يوسف ستالين.	FC
707	حَيْثُ_adv_rel	3	GPT4	حيث يعتبر النيل أطول نهر في العالم بطول 6650 كيلومتر.	FC
9460	واصَل_verb	2	GPT4	واصل العالم البريطاني تشارلز داروين دراساته عن التطور وكتب كتاب "أصل الأنواع".	FC
9789	عُنْوان_noun	1	GPT4	"العنوان الموجز" هو عبارة عن تلخيص قصير للموضوع المطروح في مقالة أو دراسة.	FC
